type,category,core,content,translation,remark,count
词伙,体育/媒体话题,effort,concerted efforts from ... to ...,来自...的协同努力,,0
词伙,体育/媒体话题,stakeholder,multiple stakeholders,多方利益相关者,,0
词伙,体育/媒体话题,cultivate,cultivate the entire ecosystem of ...,培育...的整个生态系统,,0
词伙,体育/媒体话题,initiative,take the initiative to,主动去...,,0
词伙,体育/媒体话题,showcase,showcase high-quality events,展示高质量的赛事,,0
词伙,体育/媒体话题,invest,invest in,投资于...,,0
词伙,体育/媒体话题,storytelling,compelling storytelling,引人入胜的叙事,,1
词伙,体育/媒体话题,shoulder,shoulder their responsibility by,通过...承担他们的责任,,0
词伙,体育/媒体话题,allocation,a more abundant and equitable allocation of resources for,为...进行更充裕和公平的资源分配,,0
词伙,体育/媒体话题,alliance,collaborative alliance among ...` ... and ...,...、...和...之间的协作联盟,,0
词伙,体育/媒体话题,cycle,vicious cycle;virtuous one(cycle),恶性循环；良性循环,,0
词伙,体育/媒体话题,measure,adopting (proactive and systematic) measures,采取（积极主动且系统性的）措施,,0
词伙,体育/媒体话题,market,a healthy and equitable (sports broadcasting) market,一个健康且公平的（体育转播）市场,,1
词伙,交通/环保话题,vehicle,private vehicles,私家车,,0
词伙,交通/环保话题,ownership,widespread ownership,广泛的拥有率,,0
词伙,交通/环保话题,congestion,traffic congestion,交通拥堵,,0
词伙,交通/环保话题,problem,increasingly urgent problem,日益紧迫的问题,,0
词伙,交通/环保话题,cost,raising the cost,提高成本,,0
词伙,交通/环保话题,petrol,cars and petrol,汽车和汽油,,0
词伙,交通/环保话题,optimal,far from optimal,远非最佳,,0
词伙,交通/环保话题,provide,providing ... alternatives,提供...替代方案,,0
词伙,交通/环保话题,alternative,affordable and environmentally friendly alternative,负担得起且环保的替代选择,,0
词伙,交通/环保话题,transfer,transfer the cost of ... from ... to ...,将...的成本从...转移至...,,0
词伙,交通/环保话题,household,individual households,个人家庭,,0
词伙,交通/环保话题,strategy,implicit strategy,隐含的策略,,0
词伙,交通/环保话题,distribution,an inequitable distribution of,不公平的分配,,0
词伙,交通/环保话题,cost,social costs,社会成本,,0
词伙,交通/环保话题,burden,place a (disproportionate financial) burden on;exert pressure,给...施加（不成比例的财政）负担；施加压力,,0
词伙,交通/环保话题,family,middle- and low-income families;high-income individuals,中低收入家庭；高收入个人,,1
词伙,交通/环保话题,unaffected,largely unaffected,基本不受影响,,0
词伙,交通/环保话题,exacerbate,(social inequity) would be exacerbated without effectively resolving the core ... issues,（社会不公）将在未能有效解决核心...问题的情况下加剧,,0
词伙,交通/环保话题,stifle,stifle technological transformation,抑制技术转型,,0
词伙,交通/环保话题,demand,reduce demand,减少需求,,0
词伙,交通/环保话题,incentive,weakens the market incentive for ...,削弱对...的市场激励,,0
词伙,交通/环保话题,turn,in turn,反过来,,0
词伙,交通/环保话题,breakthrough,technological breakthroughs,技术突破,,0
词伙,交通/环保话题,sector,in this sector,在这个领域,,0
词伙,交通/环保话题,pace,slow down the pace of innovation in,减缓...的创新速度,,0
词伙,交通/环保话题,technology,green transportation technologies,绿色交通技术,,0
词伙,交通/环保话题,impact,negatively impact,对...产生负面影响,,0
词伙,交通/环保话题,industry,the entire automobile manufacturing industry,整个汽车制造业,,0
词伙,交通/环保话题,chain,supply chain,供应链,,0
词伙,交通/环保话题,component,mechanical components,机械部件,,0
词伙,交通/环保话题,sector,related logistics sectors,相关的物流部门,,0
词伙,交通/环保话题,benefit,leading to diminished economic benefits,导致经济效益减少,,0
词伙,交通/环保话题,strategy,a price-hiking strategy,涨价策略,,0
词伙,交通/环保话题,exacerbate,exacerbates social inequity,加剧社会不公,,0
词伙,交通/环保话题,hinder,hinder technological progress,阻碍技术进步,,0
词伙,交通/环保话题,hinder,hinder economic development,阻碍经济发展,,0
词伙,交通/环保话题,alternative,establish efficient` affordable` and green alternatives,建立高效、负担得起且绿色的替代方案,,1
词伙,交通/环保话题,system,synchronised public transportation system,同步化的公共交通系统,,0
词伙,交通/环保话题,promotion,promotion of electric vehicles,推广电动汽车,,0
词伙,交通/环保话题,invest,invest in improving,投资改善,,0
词伙,交通/环保话题,network,the public transport network,公共交通网络,,0
词伙,交通/环保话题,subsidy,provide subsidies to reduce fares,提供补贴以降低票价,,0
词伙,交通/环保话题,time,travel time and costs decrease,出行时间和成本下降,,0
词伙,交通/环保话题,opt,be inclined to opt for ... over ...,倾向于选择...而非...,,0
词伙,交通/环保话题,orient,urban planning should be oriented around,城市规划应以...为中心,,0
词伙,交通/环保话题,hub,public transit hubs,公共交通枢纽,,1
词伙,交通/环保话题,distance,shorten commuting distances,缩短通勤距离,,1
词伙,交通/环保话题,efficiency,increase (road) efficiency,提高（道路）效率,,0
词伙,交通/环保话题,system,intelligent traffic management systems should be implemented;implement intelligent traffic management systems,应实施智能交通管理系统；实施智能交通管理系统,,0
词伙,交通/环保话题,infrastructure,upgrade current infrastructure,升级现有基础设施,,0
词伙,交通/环保话题,investment,investment in future technology,对未来技术的投资,,0
词伙,交通/环保话题,connect,connect present systems to a sustainable future,将现有系统与可持续的未来连接起来,,0
词伙,交通/环保话题,promotion,promoting electric vehicle production,促进电动汽车生产,,1
词伙,交通/环保话题,infrastructure,charging infrastructure,充电基础设施,,0
词伙,交通/环保话题,funding,funding clean energy research,资助清洁能源研究,,0
词伙,交通/环保话题,crucial,be crucial for,对...至关重要,,1
词伙,交通/环保话题,achieve,achieve a sustainable future,实现可持续的未来,,0
词伙,交通/环保话题,mechanism,price mechanisms,价格机制,,0
词伙,交通/环保话题,tool,can be a powerful and immediate tool,可以成为一个有力且即时的手段,,0
词伙,交通/环保话题,measure,supplementary measure,补充措施,,0
词伙,交通/环保话题,charge,revenue from congestion charges,来自拥堵费的收入,,0
词伙,交通/环保话题,ring-fence,ring-fenced to,专款专用于,,0
词伙,交通/环保话题,investment,strategic investment,战略性投资,,0
词伙,交通/环保话题,disincentive,a disincentive,一种抑制措施,,0
词伙,交通/环保话题,transform,transform ... into ...,将...转变为...,,0
词伙,交通/环保话题,harm,cause economic harm,造成经济损失,,0
词伙,交通/环保话题,focus,a focus on systematic investment,对系统性投资的关注,,0
词伙,交通/环保话题,development,the development of public infrastructure,公共基础设施的发展,,0
词伙,交通/环保话题,promotion,the promotion of a green technology revolution,对绿色技术革命的推动,,0
